Time,Tem,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:09:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.039,0.04,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.038,0.037,,,,,,,,0.039,0.039,0.039,0.038,0.037,,,,,,,,0.039,0.04,0.039,0.038,0.038,,,,,,,,0.04,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.04,0.039,0.038,,,,,,,,0.037,0.038,0.039,0.038,0.038
0:19:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.039,0.04,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.038,0.037,,,,,,,,0.039,0.039,0.039,0.038,0.037,,,,,,,,0.039,0.04,0.039,0.038,0.038,,,,,,,,0.04,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.04,0.039,0.038,,,,,,,,0.037,0.038,0.039,0.038,0.038
0:29:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.039,0.04,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.038,0.037,,,,,,,,0.039,0.039,0.039,0.039,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.04,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.04,0.039,0.038,,,,,,,,0.037,0.038,0.039,0.038,0.038
0:39:38,37.1,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.039,0.04,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.038,0.037,,,,,,,,0.039,0.039,0.039,0.039,0.037,,,,,,,,0.039,0.04,0.041,0.039,0.038,,,,,,,,0.04,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.04,0.039,0.038,,,,,,,,0.038,0.038,0.039,0.038,0.038
0:49:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.04,0.04,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.039,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.04,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.04,0.04,0.038,,,,,,,,0.037,0.038,0.039,0.038,0.038
0:59:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.039,0.04,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.039,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.04,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.04,0.039,0.038,,,,,,,,0.038,0.038,0.039,0.038,0.038
1:09:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.039,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.039,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.04,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.04,0.04,0.038,,,,,,,,0.037,0.038,0.039,0.038,0.038
1:19:38,37.1,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.039,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.039,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.04,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.041,0.04,0.038,,,,,,,,0.037,0.038,0.039,0.038,0.038
1:29:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.04,0.038,0.038,,,,,,,,0.039,0.039,0.039,0.039,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.04,0.04,0.04,0.04,0.038,,,,,,,,0.039,0.04,0.041,0.04,0.038,,,,,,,,0.037,0.038,0.039,0.039,0.038
1:39:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.039,0.039,0.037,,,,,,,,0.039,0.04,0.041,0.039,0.038,,,,,,,,0.04,0.04,0.04,0.04,0.038,,,,,,,,0.039,0.04,0.041,0.04,0.038,,,,,,,,0.037,0.038,0.04,0.039,0.038
1:49:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.039,0.039,0.038,,,,,,,,0.039,0.04,0.039,0.039,0.037,,,,,,,,0.039,0.04,0.041,0.039,0.038,,,,,,,,0.04,0.04,0.041,0.04,0.038,,,,,,,,0.039,0.04,0.041,0.04,0.038,,,,,,,,0.037,0.038,0.04,0.039,0.038
1:59:38,37,,,,,,,,0.038,0.038,0.038,0.038,0.037,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.04,0.04,0.039,0.037,,,,,,,,0.039,0.04,0.041,0.039,0.038,,,,,,,,0.04,0.04,0.041,0.04,0.038,,,,,,,,0.039,0.04,0.041,0.04,0.038,,,,,,,,0.037,0.038,0.04,0.039,0.038
2:09:38,37,,,,,,,,0.038,0.038,0.038,0.039,0.038,,,,,,,,0.04,0.041,0.04,0.039,0.038,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.04,0.04,0.039,0.037,,,,,,,,0.039,0.04,0.041,0.04,0.038,,,,,,,,0.04,0.04,0.041,0.04,0.039,,,,,,,,0.039,0.04,0.041,0.04,0.038,,,,,,,,0.037,0.038,0.04,0.039,0.038
2:19:38,37,,,,,,,,0.038,0.039,0.038,0.039,0.038,,,,,,,,0.039,0.041,0.04,0.039,0.038,,,,,,,,0.039,0.04,0.04,0.039,0.038,,,,,,,,0.039,0.039,0.04,0.039,0.037,,,,,,,,0.039,0.04,0.043,0.039,0.038,,,,,,,,0.04,0.04,0.041,0.04,0.039,,,,,,,,0.039,0.04,0.041,0.04,0.038,,,,,,,,0.037,0.038,0.04,0.039,0.038
2:29:38,37,,,,,,,,0.038,0.039,0.038,0.039,0.037,,,,,,,,0.039,0.042,0.04,0.039,0.038,,,,,,,,0.039,0.041,0.04,0.039,0.038,,,,,,,,0.039,0.04,0.04,0.039,0.037,,,,,,,,0.039,0.04,0.043,0.04,0.038,,,,,,,,0.04,0.04,0.041,0.04,0.039,,,,,,,,0.039,0.04,0.041,0.04,0.038,,,,,,,,0.037,0.038,0.04,0.039,0.038
2:39:38,37,,,,,,,,0.038,0.039,0.039,0.039,0.037,,,,,,,,0.039,0.042,0.04,0.039,0.038,,,,,,,,0.039,0.041,0.04,0.039,0.038,,,,,,,,0.039,0.04,0.04,0.039,0.037,,,,,,,,0.039,0.04,0.043,0.04,0.038,,,,,,,,0.04,0.04,0.042,0.04,0.038,,,,,,,,0.039,0.04,0.042,0.04,0.038,,,,,,,,0.037,0.038,0.041,0.039,0.038
2:49:38,37,,,,,,,,0.038,0.039,0.039,0.039,0.038,,,,,,,,0.039,0.043,0.04,0.039,0.038,,,,,,,,0.039,0.041,0.04,0.04,0.038,,,,,,,,0.039,0.04,0.042,0.04,0.037,,,,,,,,0.039,0.04,0.042,0.04,0.038,,,,,,,,0.04,0.04,0.042,0.04,0.039,,,,,,,,0.039,0.04,0.042,0.04,0.038,,,,,,,,0.037,0.038,0.041,0.039,0.038
2:59:38,37,,,,,,,,0.038,0.039,0.039,0.039,0.038,,,,,,,,0.039,0.041,0.04,0.04,0.038,,,,,,,,0.039,0.04,0.04,0.04,0.038,,,,,,,,0.039,0.04,0.041,0.04,0.037,,,,,,,,0.039,0.041,0.043,0.04,0.039,,,,,,,,0.04,0.04,0.042,0.04,0.039,,,,,,,,0.039,0.04,0.042,0.04,0.038,,,,,,,,0.038,0.038,0.041,0.039,0.038
3:09:38,37.1,,,,,,,,0.038,0.039,0.039,0.04,0.038,,,,,,,,0.039,0.041,0.04,0.04,0.038,,,,,,,,0.039,0.041,0.04,0.04,0.038,,,,,,,,0.039,0.04,0.041,0.04,0.037,,,,,,,,0.039,0.041,0.042,0.04,0.038,,,,,,,,0.04,0.04,0.043,0.04,0.039,,,,,,,,0.039,0.04,0.042,0.04,0.038,,,,,,,,0.037,0.038,0.041,0.039,0.038
3:19:38,37.1,,,,,,,,0.038,0.04,0.039,0.04,0.038,,,,,,,,0.04,0.043,0.04,0.04,0.038,,,,,,,,0.039,0.041,0.04,0.04,0.038,,,,,,,,0.039,0.041,0.041,0.04,0.037,,,,,,,,0.04,0.041,0.043,0.04,0.039,,,,,,,,0.04,0.041,0.043,0.041,0.039,,,,,,,,0.039,0.04,0.043,0.041,0.038,,,,,,,,0.038,0.039,0.041,0.039,0.038
3:29:38,37,,,,,,,,0.038,0.04,0.039,0.04,0.038,,,,,,,,0.039,0.042,0.04,0.04,0.038,,,,,,,,0.039,0.04,0.04,0.04,0.038,,,,,,,,0.039,0.04,0.042,0.04,0.037,,,,,,,,0.039,0.041,0.044,0.04,0.039,,,,,,,,0.04,0.041,0.043,0.041,0.039,,,,,,,,0.039,0.04,0.043,0.041,0.038,,,,,,,,0.038,0.039,0.042,0.039,0.038
3:39:38,37.1,,,,,,,,0.038,0.04,0.039,0.041,0.038,,,,,,,,0.039,0.042,0.041,0.041,0.038,,,,,,,,0.039,0.043,0.04,0.041,0.038,,,,,,,,0.039,0.041,0.042,0.041,0.037,,,,,,,,0.039,0.041,0.043,0.041,0.039,,,,,,,,0.04,0.041,0.043,0.041,0.039,,,,,,,,0.039,0.04,0.043,0.041,0.038,,,,,,,,0.038,0.039,0.042,0.039,0.038
3:49:38,37,,,,,,,,0.038,0.041,0.039,0.042,0.038,,,,,,,,0.04,0.044,0.041,0.042,0.038,,,,,,,,0.039,0.042,0.04,0.041,0.038,,,,,,,,0.039,0.041,0.042,0.041,0.037,,,,,,,,0.039,0.041,0.043,0.04,0.039,,,,,,,,0.04,0.041,0.044,0.041,0.039,,,,,,,,0.039,0.04,0.044,0.041,0.038,,,,,,,,0.039,0.039,0.043,0.039,0.038
3:59:38,37,,,,,,,,0.038,0.041,0.04,0.043,0.038,,,,,,,,0.039,0.045,0.041,0.042,0.038,,,,,,,,0.039,0.042,0.041,0.042,0.038,,,,,,,,0.039,0.041,0.043,0.041,0.037,,,,,,,,0.039,0.042,0.045,0.041,0.039,,,,,,,,0.04,0.041,0.045,0.041,0.039,,,,,,,,0.039,0.04,0.044,0.041,0.038,,,,,,,,0.039,0.039,0.043,0.039,0.038
4:09:38,37,,,,,,,,0.038,0.042,0.04,0.043,0.038,,,,,,,,0.04,0.047,0.041,0.043,0.038,,,,,,,,0.039,0.041,0.042,0.043,0.038,,,,,,,,0.039,0.042,0.044,0.041,0.037,,,,,,,,0.039,0.043,0.045,0.041,0.039,,,,,,,,0.04,0.041,0.045,0.042,0.039,,,,,,,,0.039,0.04,0.045,0.041,0.038,,,,,,,,0.039,0.039,0.043,0.039,0.038
4:19:38,37,,,,,,,,0.038,0.042,0.04,0.046,0.038,,,,,,,,0.039,0.045,0.042,0.044,0.038,,,,,,,,0.039,0.041,0.041,0.044,0.038,,,,,,,,0.039,0.043,0.045,0.042,0.037,,,,,,,,0.039,0.043,0.046,0.041,0.039,,,,,,,,0.04,0.041,0.046,0.042,0.039,,,,,,,,0.039,0.041,0.045,0.041,0.038,,,,,,,,0.039,0.039,0.043,0.04,0.038
4:29:38,37,,,,,,,,0.038,0.044,0.041,0.046,0.038,,,,,,,,0.04,0.045,0.042,0.046,0.038,,,,,,,,0.039,0.042,0.041,0.043,0.038,,,,,,,,0.039,0.043,0.043,0.043,0.037,,,,,,,,0.039,0.043,0.047,0.042,0.039,,,,,,,,0.04,0.041,0.047,0.042,0.039,,,,,,,,0.039,0.041,0.046,0.042,0.038,,,,,,,,0.039,0.039,0.044,0.04,0.038
4:39:38,37,,,,,,,,0.038,0.046,0.041,0.045,0.038,,,,,,,,0.039,0.045,0.042,0.048,0.038,,,,,,,,0.039,0.042,0.042,0.044,0.038,,,,,,,,0.039,0.043,0.046,0.044,0.037,,,,,,,,0.039,0.044,0.048,0.042,0.039,,,,,,,,0.04,0.042,0.047,0.043,0.039,,,,,,,,0.039,0.041,0.047,0.042,0.038,,,,,,,,0.037,0.039,0.044,0.04,0.038
4:49:38,37,,,,,,,,0.038,0.047,0.041,0.047,0.038,,,,,,,,0.04,0.046,0.042,0.048,0.038,,,,,,,,0.039,0.043,0.042,0.044,0.038,,,,,,,,0.039,0.043,0.045,0.044,0.037,,,,,,,,0.039,0.044,0.048,0.043,0.039,,,,,,,,0.04,0.042,0.048,0.043,0.039,,,,,,,,0.039,0.041,0.047,0.043,0.038,,,,,,,,0.037,0.039,0.045,0.04,0.038
4:59:38,37,,,,,,,,0.038,0.046,0.041,0.05,0.038,,,,,,,,0.04,0.048,0.042,0.049,0.038,,,,,,,,0.039,0.043,0.042,0.045,0.038,,,,,,,,0.039,0.044,0.046,0.045,0.037,,,,,,,,0.039,0.045,0.051,0.043,0.039,,,,,,,,0.04,0.042,0.049,0.044,0.039,,,,,,,,0.039,0.041,0.047,0.044,0.038,,,,,,,,0.039,0.04,0.046,0.04,0.038
5:09:38,37,,,,,,,,0.038,0.054,0.042,0.051,0.038,,,,,,,,0.04,0.049,0.043,0.051,0.038,,,,,,,,0.039,0.044,0.044,0.047,0.038,,,,,,,,0.039,0.045,0.049,0.044,0.037,,,,,,,,0.039,0.05,0.054,0.044,0.039,,,,,,,,0.04,0.043,0.051,0.044,0.039,,,,,,,,0.039,0.043,0.049,0.047,0.038,,,,,,,,0.037,0.04,0.046,0.042,0.038
5:19:38,37,,,,,,,,0.038,0.056,0.043,0.052,0.038,,,,,,,,0.04,0.05,0.043,0.051,0.038,,,,,,,,0.039,0.045,0.043,0.049,0.038,,,,,,,,0.039,0.046,0.048,0.045,0.037,,,,,,,,0.039,0.047,0.054,0.045,0.039,,,,,,,,0.04,0.046,0.052,0.045,0.039,,,,,,,,0.039,0.043,0.049,0.049,0.038,,,,,,,,0.037,0.04,0.047,0.041,0.038
5:29:38,37,,,,,,,,0.038,0.052,0.043,0.054,0.038,,,,,,,,0.04,0.053,0.043,0.053,0.038,,,,,,,,0.039,0.046,0.043,0.048,0.038,,,,,,,,0.039,0.048,0.052,0.046,0.037,,,,,,,,0.039,0.049,0.053,0.047,0.039,,,,,,,,0.04,0.045,0.053,0.046,0.039,,,,,,,,0.039,0.042,0.05,0.046,0.038,,,,,,,,0.037,0.04,0.047,0.041,0.038
5:39:38,37,,,,,,,,0.038,0.056,0.046,0.057,0.038,,,,,,,,0.039,0.052,0.044,0.054,0.038,,,,,,,,0.039,0.049,0.043,0.049,0.038,,,,,,,,0.039,0.048,0.051,0.046,0.037,,,,,,,,0.039,0.052,0.053,0.049,0.039,,,,,,,,0.04,0.045,0.055,0.047,0.039,,,,,,,,0.039,0.043,0.052,0.051,0.038,,,,,,,,0.037,0.041,0.048,0.045,0.038
5:49:38,37,,,,,,,,0.039,0.053,0.045,0.058,0.038,,,,,,,,0.04,0.054,0.045,0.055,0.038,,,,,,,,0.039,0.05,0.044,0.052,0.038,,,,,,,,0.039,0.05,0.05,0.049,0.037,,,,,,,,0.039,0.05,0.056,0.052,0.039,,,,,,,,0.04,0.043,0.058,0.047,0.039,,,,,,,,0.039,0.043,0.052,0.051,0.038,,,,,,,,0.037,0.041,0.048,0.043,0.038
5:59:38,37,,,,,,,,0.038,0.053,0.045,0.061,0.038,,,,,,,,0.04,0.051,0.045,0.057,0.038,,,,,,,,0.039,0.05,0.045,0.054,0.038,,,,,,,,0.039,0.051,0.052,0.049,0.037,,,,,,,,0.039,0.051,0.059,0.05,0.039,,,,,,,,0.04,0.047,0.059,0.049,0.039,,,,,,,,0.039,0.043,0.053,0.052,0.038,,,,,,,,0.038,0.041,0.05,0.042,0.038
6:09:38,37,,,,,,,,0.038,0.057,0.046,0.064,0.038,,,,,,,,0.044,0.056,0.046,0.058,0.038,,,,,,,,0.039,0.05,0.046,0.055,0.038,,,,,,,,0.039,0.052,0.053,0.051,0.037,,,,,,,,0.039,0.055,0.062,0.051,0.039,,,,,,,,0.04,0.052,0.064,0.05,0.039,,,,,,,,0.039,0.044,0.055,0.052,0.038,,,,,,,,0.037,0.042,0.05,0.044,0.038
6:19:38,37,,,,,,,,0.038,0.058,0.047,0.069,0.038,,,,,,,,0.041,0.058,0.048,0.064,0.038,,,,,,,,0.039,0.053,0.046,0.057,0.038,,,,,,,,0.039,0.054,0.055,0.053,0.037,,,,,,,,0.039,0.056,0.064,0.052,0.039,,,,,,,,0.04,0.054,0.068,0.051,0.039,,,,,,,,0.039,0.044,0.056,0.053,0.038,,,,,,,,0.038,0.043,0.051,0.045,0.038
6:29:38,37,,,,,,,,0.038,0.063,0.049,0.075,0.038,,,,,,,,0.04,0.059,0.053,0.07,0.038,,,,,,,,0.039,0.053,0.048,0.06,0.038,,,,,,,,0.039,0.06,0.059,0.056,0.037,,,,,,,,0.039,0.062,0.068,0.054,0.039,,,,,,,,0.04,0.054,0.073,0.053,0.039,,,,,,,,0.039,0.046,0.059,0.054,0.038,,,,,,,,0.037,0.044,0.053,0.046,0.038
6:39:38,37,,,,,,,,0.038,0.063,0.051,0.086,0.038,,,,,,,,0.04,0.06,0.056,0.076,0.038,,,,,,,,0.039,0.059,0.049,0.062,0.038,,,,,,,,0.039,0.058,0.062,0.057,0.037,,,,,,,,0.039,0.063,0.072,0.056,0.039,,,,,,,,0.04,0.055,0.074,0.055,0.039,,,,,,,,0.043,0.049,0.06,0.055,0.038,,,,,,,,0.037,0.045,0.054,0.044,0.038
6:49:38,37,,,,,,,,0.038,0.062,0.051,0.099,0.038,,,,,,,,0.041,0.061,0.051,0.081,0.038,,,,,,,,0.039,0.058,0.05,0.067,0.038,,,,,,,,0.039,0.061,0.065,0.059,0.037,,,,,,,,0.039,0.063,0.073,0.058,0.039,,,,,,,,0.04,0.056,0.078,0.057,0.039,,,,,,,,0.044,0.048,0.062,0.057,0.038,,,,,,,,0.037,0.044,0.055,0.045,0.038
6:59:38,37,,,,,,,,0.038,0.065,0.053,0.107,0.039,,,,,,,,0.045,0.066,0.053,0.089,0.038,,,,,,,,0.039,0.063,0.051,0.069,0.038,,,,,,,,0.039,0.065,0.067,0.06,0.037,,,,,,,,0.039,0.067,0.08,0.061,0.038,,,,,,,,0.04,0.057,0.083,0.059,0.039,,,,,,,,0.043,0.047,0.063,0.058,0.038,,,,,,,,0.038,0.045,0.056,0.046,0.038
7:09:38,37,,,,,,,,0.038,0.07,0.054,0.111,0.038,,,,,,,,0.045,0.067,0.054,0.099,0.038,,,,,,,,0.039,0.063,0.052,0.073,0.038,,,,,,,,0.039,0.068,0.071,0.063,0.037,,,,,,,,0.039,0.069,0.081,0.063,0.038,,,,,,,,0.04,0.057,0.088,0.061,0.039,,,,,,,,0.043,0.049,0.066,0.06,0.038,,,,,,,,0.037,0.046,0.058,0.046,0.038
7:19:38,37,,,,,,,,0.038,0.072,0.057,0.098,0.039,,,,,,,,0.04,0.07,0.058,0.104,0.038,,,,,,,,0.039,0.065,0.054,0.076,0.038,,,,,,,,0.039,0.071,0.072,0.065,0.037,,,,,,,,0.039,0.074,0.085,0.066,0.038,,,,,,,,0.04,0.057,0.094,0.063,0.039,,,,,,,,0.043,0.051,0.069,0.064,0.038,,,,,,,,0.038,0.051,0.059,0.047,0.038
7:29:38,37,,,,,,,,0.038,0.078,0.06,0.105,0.038,,,,,,,,0.043,0.074,0.058,0.105,0.038,,,,,,,,0.039,0.07,0.056,0.082,0.038,,,,,,,,0.039,0.076,0.077,0.068,0.037,,,,,,,,0.039,0.08,0.091,0.07,0.038,,,,,,,,0.04,0.059,0.113,0.067,0.039,,,,,,,,0.044,0.053,0.072,0.066,0.038,,,,,,,,0.037,0.048,0.061,0.048,0.038
7:39:38,37,,,,,,,,0.038,0.081,0.061,0.114,0.038,,,,,,,,0.044,0.08,0.06,0.108,0.038,,,,,,,,0.039,0.076,0.059,0.087,0.038,,,,,,,,0.039,0.082,0.083,0.074,0.037,,,,,,,,0.039,0.083,0.098,0.074,0.038,,,,,,,,0.04,0.061,0.121,0.071,0.039,,,,,,,,0.043,0.051,0.073,0.067,0.038,,,,,,,,0.037,0.049,0.063,0.05,0.038
7:49:38,37,,,,,,,,0.038,0.087,0.064,0.117,0.038,,,,,,,,0.04,0.085,0.062,0.118,0.038,,,,,,,,0.039,0.079,0.061,0.1,0.038,,,,,,,,0.039,0.087,0.087,0.08,0.037,,,,,,,,0.039,0.097,0.108,0.079,0.038,,,,,,,,0.04,0.066,0.119,0.074,0.039,,,,,,,,0.045,0.055,0.079,0.071,0.038,,,,,,,,0.038,0.05,0.065,0.052,0.038
7:59:38,37.1,,,,,,,,0.038,0.092,0.066,0.118,0.039,,,,,,,,0.042,0.09,0.066,0.127,0.038,,,,,,,,0.039,0.085,0.064,0.116,0.038,,,,,,,,0.039,0.092,0.093,0.085,0.037,,,,,,,,0.039,0.11,0.117,0.083,0.038,,,,,,,,0.04,0.068,0.123,0.078,0.039,,,,,,,,0.043,0.058,0.079,0.077,0.038,,,,,,,,0.037,0.053,0.067,0.055,0.038
